country_name,country_code,series_code,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019
Ghana,GHA,LE_BTH,63.175,63.89,64.013,64.122,64.74
Kenya,KEN,LE_BTH,61.892,62.163,62.481,62.676,62.943
Lesotho,LSO,LE_BTH,51.101,52.264,53.064,53.733,54.173
Liberia,LBR,LE_BTH,59.148,60.416,60.553,60.853,61.104
Libya,LBY,LE_BTH,71.698,71.756,72.482,72.794,72.463
Madagascar,MDG,LE_BTH,64.339,64.997,65.094,65.27,65.882
Malawi,MWI,LE_BTH,61.378,62.209,62.977,63.276,64.119
Mali,MLI,LE_BTH,58.363,58.731,59.132,59.393,59.664
Somalia,SOM,LE_BTH,54.857,55.044,55.654,56.375,57.078
Mauritania,MRT,LE_BTH,64.485,64.768,65.083,65.31,65.687
Mauritius,MUS,LE_BTH,74.35317073,74.39487805,74.51463415,74.41634146,74.23585366
Morocco,MAR,LE_BTH,72.92,73.284,73.66,73.986,74.27
Mozambique,MOZ,LE_BTH,58.151,59.038,59.771,60.526,61.166
Namibia,NAM,LE_BTH,60.7,61.682,62.293,62.586,63.075
Niger,NER,LE_BTH,61.083,61.629,62.16,62.454,62.897
Nigeria,NGA,LE_BTH,51.841,52.043,52.305,52.554,52.91
Rwanda,RWA,LE_BTH,65.298,65.737,65.941,66.251,66.437
Sao Tome and Principe,STP,LE_BTH,67.249,67.492,68.267,68.355,68.523
Senegal,SEN,LE_BTH,66.879,67.497,67.75,68.097,68.526
Seychelles,SYC,LE_BTH,74.29512195,74.3097561,74.3,72.84146341,74.04634146
Sierra Leone,SLE,LE_BTH,57.189,58.404,58.652,59.796,60.255
South Africa,ZAF,LE_BTH,63.95,64.747,65.402,65.674,66.175
South Sudan,SSD,LE_BTH,55.566,55.544,55.309,55.95,55.912
Sudan,SDN,LE_BTH,64.659,64.78,65.445,65.681,65.876
Tanzania,TZA,LE_BTH,64.651,65.386,65.999,66.535,66.989
Togo,TGO,LE_BTH,59.396,59.55,60.154,60.244,60.901
Tunisia,TUN,LE_BTH,75.692,75.786,75.845,75.95,75.993
Uganda,UGA,LE_BTH,61.086,61.648,62.115,62.714,62.991
Zambia,ZMB,LE_BTH,61.208,61.794,62.12,62.342,62.793
Zimbabwe,ZWE,LE_BTH,59.591,60.306,60.709,61.414,61.292
Algeria,DZA,IMRT_IN,21.6,21.3,20.9,20.4,20
Angola,AGO,IMRT_IN,57.7,55.5,53.5,51.7,49.9
Benin,BEN,IMRT_IN,63.2,61.9,60.6,59.3,57.9
Botswana,BWA,IMRT_IN,39.6,39.3,38.2,37.6,36.9
Burkina Faso,BFA,IMRT_IN,59.6,58.2,56.7,55.4,54.1
Burundi,BDI,IMRT_IN,46.2,44.4,42.7,41.3,39.9
Cabo Verde,CPV,IMRT_IN,16.7,15.5,14.5,13.6,12.8
Cameroon,CMR,IMRT_IN,57,55.2,53.2,51.3,49.9
Central African Republic,CAF,IMRT_IN,87.9,85.6,83.8,81.6,79.1
Chad,TCD,IMRT_IN,75.7,74.1,72.4,70.7,69
Comoros,COM,IMRT_IN,54.4,53,51.5,50.1,48.7
"Congo, Dem. Rep.",COD,IMRT_IN,73,71.1,69.1,67.3,65.5
"Congo, Rep.",COG,IMRT_IN,37.6,36.6,35.6,34.7,35.9
Cote d'Ivoire,CIV,IMRT_IN,65.7,64.4,62.9,61.3,59.4
Djibouti,DJI,IMRT_IN,54.6,53.1,51.6,50.1,48.6
